case,result_depth,window,seed,input_sha256,output_period,cycles,busy_cycles,utilization,result_wait,payload_bits
random_03,2,8,20260906,4f7e0f0917e310989ad13196c5db764c2f689c34ebca70cb7bf20280494020c8,1,1511,2942,0.973527465255,0,1856
random_04,2,8,1,8961b21d91426b3d91ef12648af42f1f6220702fe2e6698aeea161031de9832a,1,1552,3008,0.969072164948,0,1856
random_04,2,8,7,8961b21d91426b3d91ef12648af42f1f6220702fe2e6698aeea161031de9832a,1,1552,3008,0.969072164948,0,1856
random_04,2,8,42,8961b21d91426b3d91ef12648af42f1f6220702fe2e6698aeea161031de9832a,1,1552,3008,0.969072164948,0,1856
random_04,2,8,20260906,8961b21d91426b3d91ef12648af42f1f6220702fe2e6698aeea161031de9832a,1,1552,3008,0.969072164948,0,1856
random_05,2,8,1,636d95e94363630db8ce27359e38b21fd445fc95e6e1750f46630452de3baeb0,1,1537,2989,0.972348731295,0,1856
random_05,2,8,7,636d95e94363630db8ce27359e38b21fd445fc95e6e1750f46630452de3baeb0,1,1537,2989,0.972348731295,0,1856
random_05,2,8,42,636d95e94363630db8ce27359e38b21fd445fc95e6e1750f46630452de3baeb0,1,1537,2989,0.972348731295,0,1856
random_05,2,8,20260906,636d95e94363630db8ce27359e38b21fd445fc95e6e1750f46630452de3baeb0,1,1537,2989,0.972348731295,0,1856
random_06,2,8,1,e964397d9a9287c98b09e5a18bfe723f0ff861d5c204197de6433d21b13bb921,1,1527,2943,0.963654223969,0,1856
random_06,2,8,7,e964397d9a9287c98b09e5a18bfe723f0ff861d5c204197de6433d21b13bb921,1,1527,2943,0.963654223969,0,1856
random_06,2,8,42,e964397d9a9287c98b09e5a18bfe723f0ff861d5c204197de6433d21b13bb921,1,1527,2943,0.963654223969,0,1856
random_06,2,8,20260906,e964397d9a9287c98b09e5a18bfe723f0ff861d5c204197de6433d21b13bb921,1,1527,2943,0.963654223969,0,1856
random_07,2,8,1,1582ce3383aaa013b1c2f8c81691e454d704f802ad4f75e48671ddd02e25416e,1,1532,2945,0.961161879896,0,1856
random_07,2,8,7,1582ce3383aaa013b1c2f8c81691e454d704f802ad4f75e48671ddd02e25416e,1,1532,2945,0.961161879896,0,1856
random_07,2,8,42,1582ce3383aaa013b1c2f8c81691e454d704f802ad4f75e48671ddd02e25416e,1,1532,2945,0.961161879896,0,1856
random_07,2,8,20260906,1582ce3383aaa013b1c2f8c81691e454d704f802ad4f75e48671ddd02e25416e,1,1532,2945,0.961161879896,0,1856
random_08,2,8,1,4fc2091f116763b93aed5b60a4bb20143d453957a7da604cc4fd9ac947d71b32,1,1509,2928,0.970178926441,0,1856
random_08,2,8,7,4fc2091f116763b93aed5b60a4bb20143d453957a7da604cc4fd9ac947d71b32,1,1509,2928,0.970178926441,0,1856
random_08,2,8,42,4fc2091f116763b93aed5b60a4bb20143d453957a7da604cc4fd9ac947d71b32,1,1509,2928,0.970178926441,0,1856
random_08,2,8,20260906,4fc2091f116763b93aed5b60a4bb20143d453957a7da604cc4fd9ac947d71b32,1,1509,2928,0.970178926441,0,1856
random_09,2,8,1,b6c96e748ba8fd853f6ca5499587a43c53374fa0d61305a1649d734e0b91e9a1,1,1515,2942,0.97095709571,0,1856
random_09,2,8,7,b6c96e748ba8fd853f6ca5499587a43c53374fa0d61305a1649d734e0b91e9a1,1,1515,2942,0.97095709571,0,1856
random_09,2,8,42,b6c96e748ba8fd853f6ca5499587a43c53374fa0d61305a1649d734e0b91e9a1,1,1515,2942,0.97095709571,0,1856
random_09,2,8,20260906,b6c96e748ba8fd853f6ca5499587a43c53374fa0d61305a1649d734e0b91e9a1,1,1515,2942,0.97095709571,0,1856
random_10,2,8,1,97d1aefe6aeb501c0cd75d4962bd0e83f8312afdc00e3033b622bfb4415a16cf,1,1533,2988,0.974559686888,0,1856
random_10,2,8,7,97d1aefe6aeb501c0cd75d4962bd0e83f8312afdc00e3033b622bfb4415a16cf,1,1533,2988,0.974559686888,0,1856
random_10,2,8,42,97d1aefe6aeb501c0cd75d4962bd0e83f8312afdc00e3033b622bfb4415a16cf,1,1533,2988,0.974559686888,0,1856
random_10,2,8,20260906,97d1aefe6aeb501c0cd75d4962bd0e83f8312afdc00e3033b622bfb4415a16cf,1,1533,2988,0.974559686888,0,1856
head_long,2,1,1,ab1f9ae462c29726aa797d7dba62d2732d0fc552b09ef07b3aaa8f806713f62c,1,241,114,0.236514522822,0,1184
head_long,2,2,1,ab1f9ae462c29726aa797d7dba62d2732d0fc552b09ef07b3aaa8f806713f62c,1,161,114,0.354037267081,0,1280
head_long,2,4,1,ab1f9ae462c29726aa797d7dba62d2732d0fc552b09ef07b3aaa8f806713f62c,1,121,114,0.471074380165,0,1472
head_long,2,16,1,ab1f9ae462c29726aa797d7dba62d2732d0fc552b09ef07b3aaa8f806713f62c,1,121,114,0.471074380165,0,2624
